,Seed,team1,team2,team1_win,Season,win_loss_pct_x,srs_x,pace_x,off_rtg_x,fta_per_fga_pct_x,fg3a_per_fga_pct_x,ts_pct_x,trb_pct_x,ast_pct_x,stl_pct_x,blk_pct_x,efg_pct_x,tov_pct_x,orb_pct_x,ft_rate_x,win_loss_pct_y,srs_y,pace_y,off_rtg_y,fta_per_fga_pct_y,fg3a_per_fga_pct_y,ts_pct_y,trb_pct_y,ast_pct_y,stl_pct_y,blk_pct_y,efg_pct_y,tov_pct_y,orb_pct_y,ft_rate_y
28,1,UConn,Illinois,1,2024,0.925,26.7,66.0,123.3,0.319,0.402,0.597,56.3,63.6,9.3,14.2,0.569,12.3,36.7,0.237,0.763,19.56,70.1,118.2,0.371,0.385,0.572,55.2,45.8,6.2,8.2,0.536,12.6,35.6,0.273
29,3,Illinois,UConn,0,2024,0.763,19.56,70.1,118.2,0.371,0.385,0.572,55.2,45.8,6.2,8.2,0.536,12.6,35.6,0.273,0.925,26.7,66.0,123.3,0.319,0.402,0.597,56.3,63.6,9.3,14.2,0.569,12.3,36.7,0.237
30,1,Purdue,Grambling,1,2024,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297,,,,,,,,,,,,,,,
31,16,Grambling,Purdue,0,2024,,,,,,,,,,,,,,,,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297
32,8,Utah State,TCU,1,2024,0.8,11.56,69.3,113.4,0.385,0.333,0.579,52.0,57.3,9.7,11.3,0.546,13.8,28.6,0.277,,,,,,,,,,,,,,,
33,9,TCU,Utah State,0,2024,,,,,,,,,,,,,,,,0.8,11.56,69.3,113.4,0.385,0.333,0.579,52.0,57.3,9.7,11.3,0.546,13.8,28.6,0.277
34,5,Gonzaga,McNeese State,1,2024,0.771,17.93,69.8,121.1,0.305,0.312,0.598,55.0,52.2,9.5,9.8,0.574,12.1,33.9,0.22,0.882,6.42,67.6,118.3,0.373,0.336,0.578,52.2,52.0,15.2,12.1,0.552,12.3,33.5,0.258
35,12,McNeese State,Gonzaga,0,2024,0.882,6.42,67.6,118.3,0.373,0.336,0.578,52.2,52.0,15.2,12.1,0.552,12.3,33.5,0.258,0.771,17.93,69.8,121.1,0.305,0.312,0.598,55.0,52.2,9.5,9.8,0.574,12.1,33.9,0.22
36,4,Kansas,Samford,1,2024,0.676,16.35,69.9,107.7,0.32,0.298,0.567,51.7,67.4,10.2,11.0,0.538,14.9,25.7,0.231,,,,,,,,,,,,,,,
37,13,Samford,Kansas,0,2024,,,,,,,,,,,,,,,,0.676,16.35,69.9,107.7,0.32,0.298,0.567,51.7,67.4,10.2,11.0,0.538,14.9,25.7,0.231
38,11,Oregon,South Carolina,1,2024,0.667,12.22,68.3,109.6,0.32,0.363,0.551,50.3,50.6,10.4,10.1,0.519,12.9,28.6,0.23,,,,,,,,,,,,,,,
39,6,South Carolina,Oregon,0,2024,,,,,,,,,,,,,,,,0.667,12.22,68.3,109.6,0.32,0.363,0.551,50.3,50.6,10.4,10.1,0.519,12.9,28.6,0.23
40,3,Creighton,Akron,1,2024,0.714,20.07,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194,0.686,2.77,66.9,109.6,0.318,0.428,0.555,53.0,49.7,8.4,8.0,0.523,14.5,30.6,0.231
41,14,Akron,Creighton,0,2024,0.686,2.77,66.9,109.6,0.318,0.428,0.555,53.0,49.7,8.4,8.0,0.523,14.5,30.6,0.231,0.714,20.07,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194
42,7,Texas,Colorado State,1,2024,0.618,15.91,68.2,110.1,0.302,0.348,0.564,50.4,54.9,10.5,11.4,0.53,14.7,29.9,0.228,0.694,13.4,66.7,111.9,0.317,0.386,0.581,50.5,66.1,9.3,8.4,0.549,13.9,25.0,0.239
43,10,Colorado State,Texas,0,2024,0.694,13.4,66.7,111.9,0.317,0.386,0.581,50.5,66.1,9.3,8.4,0.549,13.9,25.0,0.239,0.618,15.91,68.2,110.1,0.302,0.348,0.564,50.4,54.9,10.5,11.4,0.53,14.7,29.9,0.228
44,2,Tennessee,St. Peter's,1,2024,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253,0.576,-4.58,65.4,98.8,0.39,0.322,0.493,51.2,48.6,10.8,12.4,0.446,16.0,34.5,0.278
45,15,St. Peter's,Tennessee,0,2024,0.576,-4.58,65.4,98.8,0.39,0.322,0.493,51.2,48.6,10.8,12.4,0.446,16.0,34.5,0.278,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253
46,1,Purdue,Utah State,1,2024,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297,0.8,11.56,69.3,113.4,0.385,0.333,0.579,52.0,57.3,9.7,11.3,0.546,13.8,28.6,0.277
47,8,Utah State,Purdue,0,2024,0.8,11.56,69.3,113.4,0.385,0.333,0.579,52.0,57.3,9.7,11.3,0.546,13.8,28.6,0.277,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297
48,5,Gonzaga,Kansas,1,2024,0.771,17.93,69.8,121.1,0.305,0.312,0.598,55.0,52.2,9.5,9.8,0.574,12.1,33.9,0.22,0.676,16.35,69.9,107.7,0.32,0.298,0.567,51.7,67.4,10.2,11.0,0.538,14.9,25.7,0.231
49,4,Kansas,Gonzaga,0,2024,0.676,16.35,69.9,107.7,0.32,0.298,0.567,51.7,67.4,10.2,11.0,0.538,14.9,25.7,0.231,0.771,17.93,69.8,121.1,0.305,0.312,0.598,55.0,52.2,9.5,9.8,0.574,12.1,33.9,0.22
50,3,Creighton,Oregon,1,2024,0.714,20.07,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194,0.667,12.22,68.3,109.6,0.32,0.363,0.551,50.3,50.6,10.4,10.1,0.519,12.9,28.6,0.23
51,11,Oregon,Creighton,0,2024,0.667,12.22,68.3,109.6,0.32,0.363,0.551,50.3,50.6,10.4,10.1,0.519,12.9,28.6,0.23,0.714,20.07,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194
52,2,Tennessee,Texas,1,2024,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253,0.618,15.91,68.2,110.1,0.302,0.348,0.564,50.4,54.9,10.5,11.4,0.53,14.7,29.9,0.228
53,7,Texas,Tennessee,0,2024,0.618,15.91,68.2,110.1,0.302,0.348,0.564,50.4,54.9,10.5,11.4,0.53,14.7,29.9,0.228,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253
54,1,Purdue,Gonzaga,1,2024,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297,0.771,17.93,69.8,121.1,0.305,0.312,0.598,55.0,52.2,9.5,9.8,0.574,12.1,33.9,0.22
55,5,Gonzaga,Purdue,0,2024,0.771,17.93,69.8,121.1,0.305,0.312,0.598,55.0,52.2,9.5,9.8,0.574,12.1,33.9,0.22,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297
56,2,Tennessee,Creighton,1,2024,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253,0.714,20.07,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194
57,3,Creighton,Tennessee,0,2024,0.714,20.07,67.6,116.2,0.247,0.485,0.6,53.1,57.9,5.5,8.5,0.573,13.7,26.1,0.194,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253
58,1,Purdue,Tennessee,1,2024,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253
